km,lat,lon,ele,score,operators,radios,nearest_m,cell_count
0.0,22.335187,103.841287,1489.6879600153254,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,36,226
0.25,22.336142540962133,103.8399056985611,1509.4360616217787,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,94,223
0.5,22.335709927187658,103.84220145146686,1495.7526418436441,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,38,226
0.75,22.33602329625998,103.84452494881903,1509.4178097171143,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,49,225
1.0,22.337919698898176,103.84436492697408,1492.8845169231945,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,39,224
1.25,22.339615712877364,103.84513607768142,1508.8292613601202,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,45,222
1.5,22.34151817395518,103.84485410113673,1535.0,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,169,221
1.75,22.34341782476611,103.84541568606596,1534.0677793729903,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,382,221
2.0,22.345094420390886,103.84688320453131,1530.074000907039,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,599,221
2.25,22.34558282936587,103.845082032087,1538.1427169342396,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,621,220
2.5,22.34602574104066,103.8437274179279,1527.2412480487642,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,683,220
2.75,22.347698243020172,103.84400250654267,1495.8545222243952,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,862,218
3.0,22.347421981642054,103.84198517445752,1452.2188587310127,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,825,218
3.25,22.348659119540873,103.84236985919688,1428.7753572211236,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,964,217
3.5,22.349945062220275,103.84144642690318,1378.2863093731933,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1107,216
3.75,22.35096635247466,103.84193094257603,1384.3604930626964,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1219,211
4.0,22.352051899412643,103.84090412588444,1435.1582126540268,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1345,211
4.25,22.353602319238913,103.84068424180758,1458.193333389011,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1519,206
4.5,22.353373,103.8388565470267,1504.5754499133475,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1469,210
4.75,22.35489273079515,103.83849710938554,1568.3947304838941,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1541,204
5.0,22.356468219721847,103.83778220450067,1614.3138141017837,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1608,189
5.25,22.358318407778754,103.83745026608264,1619.3759572496974,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1741,173
5.5,22.35933139223314,103.83561359523367,1615.4345064162774,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1727,149
5.75,22.360706735709982,103.83436211284595,1654.4663739052435,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1802,108
6.0,22.36268267925761,103.83480643396972,1694.2611651008826,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,2021,52
6.25,22.36317439793786,103.83684362970938,1708.5475000075755,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,2161,52
6.5,22.365132204081387,103.83638712653021,1713.430766732879,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,2150,33
6.75,22.366105288879684,103.83829285925313,1699.4142200825834,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|UMTS,1933,28
7.0,22.367087645922652,103.83759964592265,1752.773247865937,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|UMTS,1914,21
7.25,22.367063968582737,103.83623062687147,1812.2187338906251,dense,Mobifone|Viettel|Vinaphone,GSM|LTE|UMTS,2027,20
7.5,22.366410702390514,103.83414645900852,1876.8427679941904,dense,Mobifone|Viettel|Vinaphone,GSM|LTE|UMTS,2243,23
7.75,22.365447280718886,103.83214982456663,1923.7887075968392,dense,Mobifone|Viettel|Vinaphone,GSM|LTE|UMTS,2226,32
8.0,22.36493832862703,103.83053891869547,1935.4182678449174,dense,Mobifone|Viettel|Vinaphone,GSM|LTE|UMTS,2115,34
8.25,22.364629391519973,103.828506,1957.4153897072383,dense,Mobifone|Viettel|Vinaphone,GSM|LTE|UMTS,1921,34
8.5,22.363080121992237,103.82727574169037,1990.736570929397,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1721,37
8.75,22.36354064216967,103.82499665179428,1980.5208720793992,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1557,35
9.0,22.362216669213804,103.82377167494487,1973.0998301100935,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1368,43
9.25,22.361920225091904,103.82221907496614,1977.4980190366873,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1221,41
9.5,22.36015728121902,103.82292323879724,1972.5496904938877,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1171,48
9.75,22.359543802783854,103.82190628432907,1957.2934319267472,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1046,48
10.0,22.359954354889517,103.82383469802112,1918.220170456428,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1243,50
10.25,22.359983138921745,103.82535515588792,1901.1697815941445,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1386,49
10.5,22.360115916127437,103.82766067903803,1903.4854547360828,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1571,56
10.75,22.35947331454861,103.82950345791131,1848.963778817205,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1520,88
11.0,22.35774724223933,103.83012257017774,1770.71581898211,dense,Mobifone|Vietnamobile|Viettel|Vinaphone,GSM|LTE|UMTS,1345,141
